Shared_Markers,k0,k1,k2,Share_allele,Value,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10,True_positive
15,0,9,6,21,903.324,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-1,1:749,100-999,051102,S,064902,F,2.9558435489561035,1.0
15,0,5,10,25,400000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,142901,S,142901,F,5.6020599913279625,2.0
14,1,7,7,21,9.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-175,175:575,0-99,103802,F,069502,S,0.9542425094393248,0.0
15,0,6,9,24,200000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,078801,F,078801,S,5.301029995663981,1.0
15,0,10,5,20,990.493,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,100-999,015701,S,057302,F,2.995851410644767,1.0
15,0,7,8,23,90000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-7,7:743,10000-99999,067601,S,067601,F,4.954242509439325,1.0
15,0,6,9,24,14820.3,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,10000-99999,036201,S,036201,F,4.1708569949406025,1.0
15,0,9,6,21,50000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-97,97:653,10000-99999,110601,F,110601,S,4.698970004336019,1.0
14,1,9,5,19,5.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,133602,S,040902,S,0.6989700043360189,0.0
14,1,7,7,21,10.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,068201,S,039002,F,1.0,0.0
15,0,7,8,23,20000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,10000-99999,039102,S,021702,F,4.301029995663981,1.0
15,0,11,4,19,200.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,100-999,070302,F,126402,S,2.3010299956639813,1.0
14,1,11,3,17,1.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,046102,S,006802,S,0.0,0.0
15,0,7,8,23,100000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,091301,F,091301,S,5.0,1.0
15,0,9,6,21,1000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-60,60:690,1000-9999,040701,F,082802,S,3.0,1.0
15,0,6,9,24,100000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-60,60:690,100000-999999,107901,S,107901,F,5.0,1.0
14,1,10,4,18,5.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,078801,F,117502,S,0.6989700043360189,0.0
15,0,6,9,24,532828.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-175,175:575,100000-999999,115701,S,115701,F,5.726587038846138,2.0
14,1,9,5,19,2.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-60,60:690,0-99,083001,S,136002,F,0.3010299956639812,0.0
15,0,8,7,22,1779730.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,1000000+,068701,S,068701,F,6.250354121182888,2.0
14,1,7,7,21,3.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-175,175:575,0-99,088201,S,045002,F,0.4771212547196624,0.0
15,0,7,8,23,104760.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-175,175:575,100000-999999,103201,S,103201,F,5.020195489753195,1.0
15,0,8,7,22,7768.97,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-97,97:653,1000-9999,114601,S,114601,F,3.890363444416381,1.0
15,0,8,7,22,298787.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-15,15:735,100000-999999,077601,S,077601,F,5.4753616977247335,2.0
15,0,7,8,23,70000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-7,7:743,10000-99999,049201,S,049201,F,4.845098040014257,1.0
